LDA observed	LDA predicted
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP3
AP1/AP3	AG
AP1/AP3	AP1
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP3/AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AG
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1
AP1/AP3	AG
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AG
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
AP1/AP3	AP1/AP3
